Sem,Course Code,Course Title,Theory CE,Theory ESE,Practical CE,Practical ESE,Tutorial CE,Tutorial ESE,Total
3,SESH2150,Discrete Structures & Graph Theory,40,60,0,0,0,0,100
3,SECE2280,Database Management System,40,60,0,0,100,0,200
3,SECE2291,Data Structures,40,60,40,60,0,0,200
3,SEIT2250,Object Oriented Programming with Java,40,60,40,60,0,0,200
3,SEIT2270,Web Application Development,40,60,40,60,0,0,200
3,CFLS2140,Upper Intermediate Communicative English,40,60,40,60,0,0,200
3,CLSC2020,IPDC-I,100,0,0,0,0,0,100
